Date,State,Cases
2020-05-30T00:00:00+00:00,Andaman and Nicobar Islands,33
2020-05-30T00:00:00+00:00,Andhra Pradesh,3436
2020-05-30T00:00:00+00:00,Arunachal Pradesh,3
2020-05-30T00:00:00+00:00,Assam,1024
2020-05-30T00:00:00+00:00,Bihar,3376
2020-05-30T00:00:00+00:00,Chandigarh,289
2020-05-30T00:00:00+00:00,Chhattisgarh,415
2020-05-30T00:00:00+00:00,Dadar Nagar Haveli,2
2020-05-30T00:00:00+00:00,Delhi,17386
2020-05-30T00:00:00+00:00,Goa,69
2020-05-30T00:00:00+00:00,Gujarat,15934
2020-05-30T00:00:00+00:00,Haryana,1721
2020-05-30T00:00:00+00:00,Himachal Pradesh,295
2020-05-30T00:00:00+00:00,Jammu and Kashmir,2164
2020-05-30T00:00:00+00:00,Jharkhand,511
2020-05-30T00:00:00+00:00,Karnataka,2781
2020-05-30T00:00:00+00:00,Kerala,1150
2020-05-30T00:00:00+00:00,Ladakh,74
2020-05-30T00:00:00+00:00,Lakshadweep,0
2020-05-30T00:00:00+00:00,Madhya Pradesh,7645
2020-05-30T00:00:00+00:00,Maharashtra,62228
2020-05-30T00:00:00+00:00,Manipur,59
2020-05-30T00:00:00+00:00,Meghalaya,27
2020-05-30T00:00:00+00:00,Mizoram,1
2020-05-30T00:00:00+00:00,Nagaland,25
2020-05-30T00:00:00+00:00,Odisha,1723
2020-05-30T00:00:00+00:00,Puducherry,51
2020-05-30T00:00:00+00:00,Punjab,2197
2020-05-30T00:00:00+00:00,Rajasthan,8365
2020-05-30T00:00:00+00:00,Sikkim,1
2020-05-30T00:00:00+00:00,Tamil Nadu,20246
2020-05-30T00:00:00+00:00,Telengana,2425
2020-05-30T00:00:00+00:00,Tripura,251
2020-05-30T00:00:00+00:00,Uttar Pradesh,7284
2020-05-30T00:00:00+00:00,Uttarakhand,716
2020-05-30T00:00:00+00:00,West Bengal,4813
Date,State,Cases
2020-05-31T00:00:00+00:00,Andaman and Nicobar Islands,33
2020-05-31T00:00:00+00:00,Andhra Pradesh,3569
2020-05-31T00:00:00+00:00,Arunachal Pradesh,4
2020-05-31T00:00:00+00:00,Assam,1185
2020-05-31T00:00:00+00:00,Bihar,3636
2020-05-31T00:00:00+00:00,Chandigarh,289
2020-05-31T00:00:00+00:00,Chhattisgarh,447
2020-05-31T00:00:00+00:00,Dadar Nagar Haveli,2
2020-05-31T00:00:00+00:00,Delhi,18549
2020-05-31T00:00:00+00:00,Goa,70
2020-05-31T00:00:00+00:00,Gujarat,16343
2020-05-31T00:00:00+00:00,Haryana,1923
2020-05-31T00:00:00+00:00,Himachal Pradesh,313
2020-05-31T00:00:00+00:00,Jammu and Kashmir,2341
2020-05-31T00:00:00+00:00,Jharkhand,563
2020-05-31T00:00:00+00:00,Karnataka,2922
2020-05-31T00:00:00+00:00,Kerala,1208
2020-05-31T00:00:00+00:00,Ladakh,74
2020-05-31T00:00:00+00:00,Lakshadweep,0
2020-05-31T00:00:00+00:00,Madhya Pradesh,7891
2020-05-31T00:00:00+00:00,Maharashtra,65168
2020-05-31T00:00:00+00:00,Manipur,62
2020-05-31T00:00:00+00:00,Meghalaya,27
2020-05-31T00:00:00+00:00,Mizoram,1
2020-05-31T00:00:00+00:00,Nagaland,36
2020-05-31T00:00:00+00:00,Odisha,1819
2020-05-31T00:00:00+00:00,Puducherry,51
2020-05-31T00:00:00+00:00,Punjab,2233
2020-05-31T00:00:00+00:00,Rajasthan,8617
2020-05-31T00:00:00+00:00,Sikkim,1
2020-05-31T00:00:00+00:00,Tamil Nadu,21184
2020-05-31T00:00:00+00:00,Telengana,2499
2020-05-31T00:00:00+00:00,Tripura,268
2020-05-31T00:00:00+00:00,Uttar Pradesh,7445
2020-05-31T00:00:00+00:00,Uttarakhand,749
2020-05-31T00:00:00+00:00,West Bengal,5130
